"Type Ligne","Identifiant de l'élément","Structure","Type de l'élément","Statut de l'élément","Nom base français","Nom base anglais","Nom base espagnol","Nom attribut français","Nom attribut anglais","Nom attribut espagnol","Nom frontière français","Nom frontière anglais","Code de la catégorie","Tags français","Tags anglais","Tags espagnol","Unité français","Unité anglais","Contributeur","Autres Contributeurs","Programme","Url du programme","Source","Localisation géographique","Sous-localisation géographique français","Sous-localisation géographique anglais","Sous-localisation géographique espagnol","Date de création","Date de modification","Période de validité","Incertitude","Réglementations","Transparence","Qualité","Qualité TeR","Qualité GR","Qualité TiR","Qualité C","Qualité P","Qualité M","Commentaire français","Commentaire anglais","Type poste","Nom poste français","Nom poste anglais","Nom poste espagnol","Total poste non décomposé","CO2f","CH4f","CH4b","N2O","Code gaz supplémentaire 1","Valeur gaz supplémentaire 1","Code gaz supplémentaire 2","Valeur gaz supplémentaire 2","Valeur gaz supplémentaire 3","Valeur gaz supplémentaire 4","Code gaz supplémentaire 5","Valeur gaz supplémentaire 5","Autres GES","CO2b"
"Elément","23309","élément non décomposé","Données source","Valide générique","Résidentiel, appartement",,,"construits avant 1975",,,"consommation moyenne annuelle - toute énergie confondue",,"Statistiques territoriales > Résidentiel > Consommation totale",,,,"kWh / (logement.an)","kWh / (logement.an)","ADEME",,,,,"Outre-mer","Guyane","Guyane",,"2014-11-06","2014-11-06","déc-17",30,,,,,,,,,,,,,,,,1782,,,,,,,,,,,,,,
"Elément","23310","élément non décomposé","Données source","Valide générique","Résidentiel, appartement",,,"construits avant 1975",,,"consommation moyenne annuelle - toute énergie confondue",,"Statistiques territoriales > Résidentiel > Consommation totale",,,,"kWh / (logement.an)","kWh / (logement.an)","ADEME",,,,,"Outre-mer","Nouvelle-Calédonie","Nouvelle-Calédonie",,"2014-11-06","2014-11-06","déc-17",30,,,,,,,,,,,,,,,,2675,,,,,,,,,,,,,,
"Elément","23292","élément non décomposé","Données source","Valide générique","Résidentiel, appartement",,,"construits avant 1975",,,"consommation moyenne annuelle d'électricité",,"Statistiques territoriales > Résidentiel > Consommation totale",,,,"kWh / (logement.an)","kWh / (logement.an)","ADEME",,,,,"France continentale",,,,"2014-11-06","2014-11-06","déc-17",30,,,,,,,,,,,,,,,,2083,,,,,,,,,,,,,,
"Elément","23164","élément non décomposé","Données source","Valide générique","Résidentiel, appartement",,,"construits avant 1975",,,"superficie moyenne - charbon - chauffage collectif",,"Statistiques territoriales > Résidentiel > Chauffage > Consommation",,,,"m²","m²","ADEME",,,,,"France continentale",,,,"2014-11-06","2014-11-06","déc-17",30,,,,,,,,,,,,,,,,79,,,,,,,,,,,,,,
"Elément","23198","élément non décomposé","Données source","Valide générique","Résidentiel, appartement",,,"construits avant 1975",,,"superficie moyenne - électrique - chauffage",,"Statistiques territoriales > Résidentiel > Chauffage > Consommation",,,,"kWh / (m².an)","kWh / (m².an)","ADEME",,,,,"France continentale",,,,"2014-11-06","2014-11-06","déc-17",30,,,,,,,,,,,,,,,,98,,,,,,,,,,,,,,
"Elément","23152","élément non décomposé","Données source","Valide générique","Résidentiel, appartement",,,"construits avant 1975",,,"superficie moyenne - fioul domestique - chauffage collectif",,"Statistiques territoriales > Résidentiel > Chauffage > Consommation",,,,"m²","m²","ADEME",,,,,"France continentale",,,,"2014-11-06","2014-11-06","déc-17",30,,,,,,,,,,,,,,,,71,,,,,,,,,,,,,,
"Elément","23156","élément non décomposé","Données source","Valide générique","Résidentiel, appartement",,,"construits avant 1975",,,"superficie moyenne - fioul domestique - chauffage individuel",,"Statistiques territoriales > Résidentiel > Chauffage > Consommation",,,,"m²","m²","ADEME",,,,,"France continentale",,,,"2014-11-06","2014-11-06","déc-17",30,,,,,,,,,,,,,,,,89,,,,,,,,,,,,,,
"Elément","23140","élément non décomposé","Données source","Valide générique","Résidentiel, appartement",,,"construits avant 1975",,,"superficie moyenne - gaz naturel - chauffage collectif",,"Statistiques territoriales > Résidentiel > Chauffage > Consommation",,,,"m²","m²","ADEME",,,,,"France continentale",,,,"2014-11-06","2014-11-06","déc-17",30,,,,,,,,,,,,,,,,66,,,,,,,,,,,,,,
"Elément","23144","élément non décomposé","Données source","Valide générique","Résidentiel, appartement",,,"construits avant 1975",,,"superficie moyenne - gaz naturel - chauffage individuel",,"Statistiques territoriales > Résidentiel > Chauffage > Consommation",,,,"m²","m²","ADEME",,,,,"France continentale",,,,"2014-11-06","2014-11-06","déc-17",30,,,,,,,,,,,,,,,,71,,,,,,,,,,,,,,
"Elément","23172","élément non décomposé","Données source","Valide générique","Résidentiel, appartement",,,"construits avant 1975",,,"superficie moyenne - GPL - chauffage",,"Statistiques territoriales > Résidentiel > Chauffage > Consommation",,,,"m²","m²","ADEME",,,,,"France continentale",,,,"2014-11-06","2014-11-06","déc-17",30,,,,,,,,,,,,,,,,87,,,,,,,,,,,,,,
